text,coder,tweet,topics,Arts & Culture,Business & Entrepreneurs,Celebrity & Pop Culture,Diaries & Daily Life,Family,Fashion & Style,"Film, TV & Video",Fitness & Health,Food & Dining,Learning & Educational,News & Social Concern,Relationships,Science & Technology,Youth & Student Life,Music,Gaming,Sports,Travel & Adventure,Other Hobbies,id
"""De volón pin pon"" — alguien en quien sé que puedo depositar mi confianza. Que jamás defraudará mi corazón.",5de637df1abb5059e776aab2,"""De volón pin pon"" — alguien en quien sé que puedo depositar mi confianza. Que jamás defraudará mi corazón. - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]","frozenset({'Diarios y vida diaria', 'Estado físico y salud'})",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1516748255228579840
"""De volón pin pon"" — alguien en quien sé que puedo depositar mi confianza. Que jamás defraudará mi corazón.",5f84e3aa5a8a9e1bd6be956c,"""De volón pin pon"" — alguien en quien sé que puedo depositar mi confianza. Que jamás defraudará mi corazón. - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Diarios y vida diaria'}),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1516748255228579840
"""De volón pin pon"" — alguien en quien sé que puedo depositar mi confianza. Que jamás defraudará mi corazón.",5fc86c1b2df6ff1ff7a51ea5,"""De volón pin pon"" — alguien en quien sé que puedo depositar mi confianza. Que jamás defraudará mi corazón. - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]","frozenset({'Diarios y vida diaria', 'Juventud y Vida Estudiantil'})",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1516748255228579840
"""De volón pin pon"" — alguien en quien sé que puedo depositar mi confianza. Que jamás defraudará mi corazón.",5cd0b82bae977b00015d30eb,"""De volón pin pon"" — alguien en quien sé que puedo depositar mi confianza. Que jamás defraudará mi corazón. - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Diarios y vida diaria'}),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1516748255228579840
"""De volón pin pon"" — alguien en quien sé que puedo depositar mi confianza. Que jamás defraudará mi corazón.",6167f652bd6573a069ea2ef9,"""De volón pin pon"" — alguien en quien sé que puedo depositar mi confianza. Que jamás defraudará mi corazón. - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Relaciones'}),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1516748255228579840
"""La ética es una ilusión implantada por la selección natural para hacernos buenos cooperadores"" - Michael Ruse",60ceb561bbde4a987f3f9915,"""La ética es una ilusión implantada por la selección natural para hacernos buenos cooperadores"" - Michael Ruse - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]","frozenset({'Diarios y vida diaria', 'Relaciones'})",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1522244476819091456
"""La ética es una ilusión implantada por la selección natural para hacernos buenos cooperadores"" - Michael Ruse",5c5b608e32810e0001c345f0,"""La ética es una ilusión implantada por la selección natural para hacernos buenos cooperadores"" - Michael Ruse - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Noticias e interés social'}),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1522244476819091456
"""La ética es una ilusión implantada por la selección natural para hacernos buenos cooperadores"" - Michael Ruse",6038e740208b7529cd1893d7,"""La ética es una ilusión implantada por la selección natural para hacernos buenos cooperadores"" - Michael Ruse - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]","frozenset({'Relaciones', 'Arte y cultura', 'Ciencia y Tecnología'})",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1522244476819091456
"""La ética es una ilusión implantada por la selección natural para hacernos buenos cooperadores"" - Michael Ruse",5f7d15adb786431de4b8c433,"""La ética es una ilusión implantada por la selección natural para hacernos buenos cooperadores"" - Michael Ruse - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Relaciones'}),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1522244476819091456
"""La ética es una ilusión implantada por la selección natural para hacernos buenos cooperadores"" - Michael Ruse",60957b300f08087b0af0031c,"""La ética es una ilusión implantada por la selección natural para hacernos buenos cooperadores"" - Michael Ruse - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Arte y cultura'}),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522244476819091456
"""Todos exigen la verdad, pero luego , no saben que hacer con ella"".",5c35611b19ceb400010b913c,"""Todos exigen la verdad, pero luego , no saben que hacer con ella"". - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]","frozenset({'Noticias e interés social', 'Relaciones'})",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1527710490381766656
"""Todos exigen la verdad, pero luego , no saben que hacer con ella"".",611ed2c05be8517aa0d6076b,"""Todos exigen la verdad, pero luego , no saben que hacer con ella"". - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]","frozenset({'Diarios y vida diaria', 'Aprendizaje y educación'})",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1527710490381766656
"""Todos exigen la verdad, pero luego , no saben que hacer con ella"".",6110db82f71fb953b12ea220,"""Todos exigen la verdad, pero luego , no saben que hacer con ella"". - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Diarios y vida diaria'}),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527710490381766656
"""Todos exigen la verdad, pero luego , no saben que hacer con ella"".",60ec1336008d52a998c6c45c,"""Todos exigen la verdad, pero luego , no saben que hacer con ella"". - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Diarios y vida diaria'}),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527710490381766656
"""Todos exigen la verdad, pero luego , no saben que hacer con ella"".",5ef4c07dc8437809ba661613,"""Todos exigen la verdad, pero luego , no saben que hacer con ella"". - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Diarios y vida diaria'}),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527710490381766656
#AIFAorgulloMexicano  así de simple 🥰 @aifa_aeropuerto #AIFAAeropuertoDelPueblo #AIFAinauguracion #AIFAobraDelPueblo,5c7eb70d73dbca00011650b4,"#AIFAorgulloMexicano  así de simple 🥰 @aifa_aeropuerto #AIFAAeropuertoDelPueblo #AIFAinauguracion #AIFAobraDelPueblo - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Noticias e interés social'}),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1505695682899976192
#AIFAorgulloMexicano  así de simple 🥰 @aifa_aeropuerto #AIFAAeropuertoDelPueblo #AIFAinauguracion #AIFAobraDelPueblo,608d5c3d033ac9b6f0c7cfa4,"#AIFAorgulloMexicano  así de simple 🥰 @aifa_aeropuerto #AIFAAeropuertoDelPueblo #AIFAinauguracion #AIFAobraDelPueblo - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]","frozenset({'Diarios y vida diaria', 'Otros pasatiempos'})",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1505695682899976192
#AIFAorgulloMexicano  así de simple 🥰 @aifa_aeropuerto #AIFAAeropuertoDelPueblo #AIFAinauguracion #AIFAobraDelPueblo,6078c09f59a6578a3940abc1,"#AIFAorgulloMexicano  así de simple 🥰 @aifa_aeropuerto #AIFAAeropuertoDelPueblo #AIFAinauguracion #AIFAobraDelPueblo - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Viajes y aventuras'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1505695682899976192
#AIFAorgulloMexicano  así de simple 🥰 @aifa_aeropuerto #AIFAAeropuertoDelPueblo #AIFAinauguracion #AIFAobraDelPueblo,5e8f2949ac290d059ded564b,"#AIFAorgulloMexicano  así de simple 🥰 @aifa_aeropuerto #AIFAAeropuertoDelPueblo #AIFAinauguracion #AIFAobraDelPueblo - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Noticias e interés social'}),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1505695682899976192
#AIFAorgulloMexicano  así de simple 🥰 @aifa_aeropuerto #AIFAAeropuertoDelPueblo #AIFAinauguracion #AIFAobraDelPueblo,5bef1e56c19fcd0001cdf4c7,"#AIFAorgulloMexicano  así de simple 🥰 @aifa_aeropuerto #AIFAAeropuertoDelPueblo #AIFAinauguracion #AIFAobraDelPueblo - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Viajes y aventuras'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1505695682899976192
#AIFAorgulloMexicano  así de simple 🥰 @aifa_aeropuerto #AIFAAeropuertoDelPueblo #AIFAinauguracion #AIFAobraDelPueblo,5667a28e3045cd0012c043a5,"#AIFAorgulloMexicano  así de simple 🥰 @aifa_aeropuerto #AIFAAeropuertoDelPueblo #AIFAinauguracion #AIFAobraDelPueblo - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]","frozenset({'Diarios y vida diaria', 'Noticias e interés social'})",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1505695682899976192
"#ConexiónHonduras12 Qué falta de respeto a ese que quería tanto, su negro. Habla de embarazo cuando ni se han conocido..😑",5e1f158a3e33582402807d9f,"#ConexiónHonduras12 Qué falta de respeto a ese que quería tanto, su negro. Habla de embarazo cuando ni se han conocido..😑 - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]","frozenset({'Diarios y vida diaria', 'Relaciones'})",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1546252669135749120
"#ConexiónHonduras12 Qué falta de respeto a ese que quería tanto, su negro. Habla de embarazo cuando ni se han conocido..😑",615f597d52561a57d39d6d4c,"#ConexiónHonduras12 Qué falta de respeto a ese que quería tanto, su negro. Habla de embarazo cuando ni se han conocido..😑 - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]","frozenset({'Diarios y vida diaria', 'Cine, televisión y video'})",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1546252669135749120
"#ConexiónHonduras12 Qué falta de respeto a ese que quería tanto, su negro. Habla de embarazo cuando ni se han conocido..😑",5fd77c4c90c6f7094ff03bb6,"#ConexiónHonduras12 Qué falta de respeto a ese que quería tanto, su negro. Habla de embarazo cuando ni se han conocido..😑 - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Otros pasatiempos'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1546252669135749120
"#ConexiónHonduras12 Qué falta de respeto a ese que quería tanto, su negro. Habla de embarazo cuando ni se han conocido..😑",5b477fdb56e0140001ac7720,"#ConexiónHonduras12 Qué falta de respeto a ese que quería tanto, su negro. Habla de embarazo cuando ni se han conocido..😑 - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]","frozenset({'Noticias e interés social', 'Relaciones'})",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1546252669135749120
"#ConexiónHonduras12 Qué falta de respeto a ese que quería tanto, su negro. Habla de embarazo cuando ni se han conocido..😑",5da8912f5a994b001650f01f,"#ConexiónHonduras12 Qué falta de respeto a ese que quería tanto, su negro. Habla de embarazo cuando ni se han conocido..😑 - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Aprendizaje y educación'}),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1546252669135749120
#Cuatroaldia21J Mañana será un gran día. #CrisPorta21JL,60ad736890746ce25d7757b2,"#Cuatroaldia21J Mañana será un gran día. #CrisPorta21JL - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]","frozenset({'Celebridades y cultura pop', 'Noticias e interés social'})",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1550148341014593536
#Cuatroaldia21J Mañana será un gran día. #CrisPorta21JL,60ceb561bbde4a987f3f9915,"#Cuatroaldia21J Mañana será un gran día. #CrisPorta21JL - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Celebridades y cultura pop'}),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550148341014593536
#Cuatroaldia21J Mañana será un gran día. #CrisPorta21JL,5d5c7b0c98683400182d00cb,"#Cuatroaldia21J Mañana será un gran día. #CrisPorta21JL - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Celebridades y cultura pop'}),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550148341014593536
#Cuatroaldia21J Mañana será un gran día. #CrisPorta21JL,5e95d4f551598d01d6d455af,"#Cuatroaldia21J Mañana será un gran día. #CrisPorta21JL - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Diarios y vida diaria'}),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550148341014593536
#Cuatroaldia21J Mañana será un gran día. #CrisPorta21JL,6110db82f71fb953b12ea220,"#Cuatroaldia21J Mañana será un gran día. #CrisPorta21JL - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Deportes'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1550148341014593536
"#Independiente La cadena de responsabilidades está clara: Dirigencia, Asesor y entrenador, en ese orden. Es pobrísima la gestión de las tres patas. Muy pobre. Hay que revisar las gestiones de todos. No se soluciona con la salida de Domínguez.",5fc86c1b2df6ff1ff7a51ea5,"#Independiente La cadena de responsabilidades está clara: Dirigencia, Asesor y entrenador, en ese orden. Es pobrísima la gestión de las tres patas. Muy pobre. Hay que revisar las gestiones de todos. No se soluciona con la salida de Domínguez. - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Negocios y emprendedores'}),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1546856651365441536
"#Independiente La cadena de responsabilidades está clara: Dirigencia, Asesor y entrenador, en ese orden. Es pobrísima la gestión de las tres patas. Muy pobre. Hay que revisar las gestiones de todos. No se soluciona con la salida de Domínguez.",578a389e07724c000114c02c,"#Independiente La cadena de responsabilidades está clara: Dirigencia, Asesor y entrenador, en ese orden. Es pobrísima la gestión de las tres patas. Muy pobre. Hay que revisar las gestiones de todos. No se soluciona con la salida de Domínguez. - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]","frozenset({'Otros pasatiempos', 'Noticias e interés social'})",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1546856651365441536
"#Independiente La cadena de responsabilidades está clara: Dirigencia, Asesor y entrenador, en ese orden. Es pobrísima la gestión de las tres patas. Muy pobre. Hay que revisar las gestiones de todos. No se soluciona con la salida de Domínguez.",6478b1b0d4fbeefe66aa57a1,"#Independiente La cadena de responsabilidades está clara: Dirigencia, Asesor y entrenador, en ese orden. Es pobrísima la gestión de las tres patas. Muy pobre. Hay que revisar las gestiones de todos. No se soluciona con la salida de Domínguez. - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Noticias e interés social'}),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1546856651365441536
"#Independiente La cadena de responsabilidades está clara: Dirigencia, Asesor y entrenador, en ese orden. Es pobrísima la gestión de las tres patas. Muy pobre. Hay que revisar las gestiones de todos. No se soluciona con la salida de Domínguez.",5e33dbbdde69fe398b7a72b2,"#Independiente La cadena de responsabilidades está clara: Dirigencia, Asesor y entrenador, en ese orden. Es pobrísima la gestión de las tres patas. Muy pobre. Hay que revisar las gestiones de todos. No se soluciona con la salida de Domínguez. - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Deportes'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1546856651365441536
"#Independiente La cadena de responsabilidades está clara: Dirigencia, Asesor y entrenador, en ese orden. Es pobrísima la gestión de las tres patas. Muy pobre. Hay que revisar las gestiones de todos. No se soluciona con la salida de Domínguez.",60197530194e72083ebeacc3,"#Independiente La cadena de responsabilidades está clara: Dirigencia, Asesor y entrenador, en ese orden. Es pobrísima la gestión de las tres patas. Muy pobre. Hay que revisar las gestiones de todos. No se soluciona con la salida de Domínguez. - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Negocios y emprendedores'}),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1546856651365441536
"#LaVelocidadMata Senador @MxGerardoNovelo: Vota SÍ por una #LeyMovilidadSegura que establezca límites máximos de velocidad para que aunque cometamos errores humanos, no paguemos con la vida. a través de @CoalicionMS ;",5de637df1abb5059e776aab2,"#LaVelocidadMata Senador @MxGerardoNovelo: Vota SÍ por una #LeyMovilidadSegura que establezca límites máximos de velocidad para que aunque cometamos errores humanos, no paguemos con la vida. a través de @CoalicionMS ; - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Noticias e interés social'}),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1470725250652545024
"#LaVelocidadMata Senador @MxGerardoNovelo: Vota SÍ por una #LeyMovilidadSegura que establezca límites máximos de velocidad para que aunque cometamos errores humanos, no paguemos con la vida. a través de @CoalicionMS ;",6167f652bd6573a069ea2ef9,"#LaVelocidadMata Senador @MxGerardoNovelo: Vota SÍ por una #LeyMovilidadSegura que establezca límites máximos de velocidad para que aunque cometamos errores humanos, no paguemos con la vida. a través de @CoalicionMS ; - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]","frozenset({'Noticias e interés social', 'Estado físico y salud'})",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1470725250652545024
"#LaVelocidadMata Senador @MxGerardoNovelo: Vota SÍ por una #LeyMovilidadSegura que establezca límites máximos de velocidad para que aunque cometamos errores humanos, no paguemos con la vida. a través de @CoalicionMS ;",578a389e07724c000114c02c,"#LaVelocidadMata Senador @MxGerardoNovelo: Vota SÍ por una #LeyMovilidadSegura que establezca límites máximos de velocidad para que aunque cometamos errores humanos, no paguemos con la vida. a través de @CoalicionMS ; - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Diarios y vida diaria'}),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1470725250652545024
"#LaVelocidadMata Senador @MxGerardoNovelo: Vota SÍ por una #LeyMovilidadSegura que establezca límites máximos de velocidad para que aunque cometamos errores humanos, no paguemos con la vida. a través de @CoalicionMS ;",5d366eba9749cc00185c21fb,"#LaVelocidadMata Senador @MxGerardoNovelo: Vota SÍ por una #LeyMovilidadSegura que establezca límites máximos de velocidad para que aunque cometamos errores humanos, no paguemos con la vida. a través de @CoalicionMS ; - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Noticias e interés social'}),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1470725250652545024
"#LaVelocidadMata Senador @MxGerardoNovelo: Vota SÍ por una #LeyMovilidadSegura que establezca límites máximos de velocidad para que aunque cometamos errores humanos, no paguemos con la vida. a través de @CoalicionMS ;",5e81fd2e6f674202efe1ccb9,"#LaVelocidadMata Senador @MxGerardoNovelo: Vota SÍ por una #LeyMovilidadSegura que establezca límites máximos de velocidad para que aunque cometamos errores humanos, no paguemos con la vida. a través de @CoalicionMS ; - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]",frozenset({'Noticias e interés social'}),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1470725250652545024
#QuintoRetiroUrgente antes de que el nuevo gobierne privatice y cambie el sistema mi dinero no lo vere nunca mas .,615f597d52561a57d39d6d4c,"#QuintoRetiroUrgente antes de que el nuevo gobierne privatice y cambie el sistema mi dinero no lo vere nunca mas . - Instrucciones: https://docs.google.com/document/d/1PEObe4xLmJx7GhcnJib11cHMfHM5sQYbbkw0KXws0S8/edit?usp=sharing

 

[Field-1]","frozenset({'Diarios y vida diaria', 'Noticias e interés social'})",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1476312066000576512
