id,Arts & Culture,Business & Entrepreneurs,Celebrity & Pop Culture,Diaries & Daily Life,Family,Fashion & Style,"Film, TV & Video",Fitness & Health,Food & Dining,Learning & Educational,News & Social Concern,Relationships,Science & Technology,Youth & Student Life,Music,Gaming,Sports,Travel & Adventure,Other Hobbies,topics,#topics,lang,text
1432885220047474688,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['Diaries & Daily Life', 'Fitness & Health']",2,gr,Τι είναι το σταθερό ωράριο ύπνου και εγώ γιατι δεν το έχω;
1433036899359379456,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['Diaries & Daily Life', 'News & Social Concern']",2,gr,"Ενοίκια 400 ευρώ για αξιοπρεπές σπίτι με βασικό μισθό 550, αύξηση τιμών σε ΔΕΗ, ΕΥΔΑΠ,φαγώσιμα και έχουμε ήδη ακριβή τηλεπικοινωνία.Ας περιμένουμε λίγο ακόμα τις συνθήκες,δεν είναι ακόμα καιρός."
1433187828071116800,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Diaries & Daily Life', 'Film, TV & Video']",2,gr,"Τι σαπίλα είναι αυτή;;! 😮
Ξεκινούν σειρές ... ας βαλουμε και καμιά ταινιούλα ... μακριά από την στημένη σαπίλα του #BigBrotherGR"
1433187829002252288,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Diaries & Daily Life'],1,gr,όλα τριγύρω αλλάζουνε κι όλο τα ίδια μένουν..
1433308532753977344,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Diaries & Daily Life'],1,gr,"Όχι παιδιά,δεν θα πάει καλά η μέρα  όταν ο απαγορευμένος μου καφές από τη γιατρό χύνεται στο αμάξι"
1433912205746053120,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['Diaries & Daily Life', 'News & Social Concern']",2,gr,"Πρώτα τα χάρτινα καλαμάκια..
Τώρα η αύξηση στην τιμή του καφέ..
 Πόσα χτυπήματα πια να αντέξουν  οι θεσσαλονικείς..."
1434123916767858688,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Diaries & Daily Life'],1,gr,με δυο γαλλικους καφεδες ενα renault megane δωρο
1434154017358336000,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,"['Arts & Culture', 'Fitness & Health', 'News & Social Concern', 'Sports']",4,gr,"11 τα μετάλλια για την Ελλάδα στους Παραολυμπιακούς! Το 11o το έφερε ασημένιο ο Θανάσης Προδρόμου στο μήκος με επίδοση 7,17 μ. που είναι και ατομικό του ρεκόρ .
Θαυμασμός και σεβασμός ! Πολλά συγχαρητήρια !
#ERTTokyo2020 #Paralympics"
1434214514459807744,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,"['Fitness & Health', 'News & Social Concern', 'Sports']",3,gr,Τεράστιος σεβασμός και εκτίμηση για τους Έλληνες Παραολυμπιονίκες μας. Μας κάνετε όσο περήφανους δε φαντάζεστε.
1434244688450621440,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"['Diaries & Daily Life', 'Food & Dining', 'News & Social Concern']",3,gr,Να δείτε πού θα φτάσει ο καφές όταν ιδιωτικοποιηθεί το νερό.
1434275044872671232,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"['Diaries & Daily Life', 'Relationships']",2,gr,"Στο σκοτάδι πόσο τρομακτικές γίνονται οι σκέψεις μας..σαν τα τέρατα των παιδικών μας χρόνων..μόνο που τότε ανάβαμε το φωτάκι κ χάνονταν, ενώ τώρα μας βασανίζουν κ ξαγρυπνάμε"
1434456129707417600,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,['News & Social Concern'],1,gr,"Ξέρετε ότι δε χρειάζεται να είστε ""σύντροφοι"" για να μην είστε/γουστάρετε/ανεχεστε φασίστες και ρατσιστές? Κουλό, ε?"
1434546812346580992,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['Diaries & Daily Life', 'News & Social Concern']",2,gr,"Έχει Πλευρηδες και Αδωνηδες, κυνηγάει υπουργούς του Τσίπρα, τώρα φέρνει εισαγόμενο υπουργό εκ Κύπρου. Πόσο πιο εμφατικά να σας πει κανείς ότι τα στελέχη της ΝΔ είναι πιο άχρηστα και από τις τρύπες στα donat;"
1435241219236540416,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['Diaries & Daily Life', 'Family', 'Fitness & Health']",3,gr,"πήγα τους γιους μου να κάνουν το εμβόλιο κι ήταν όλο νεύρα κ τι ήρθες, λες κι είμαστε τίποτα μωρά κ σοβαροί είμαστε κ υπεύθυνοι είμαστε κ ξεκινάει η νοσοκόμα το ερωτηματολόγιο κ στην ερώτηση είστε έγκυος απάντησαν κι οι 2 ναι"
1435452262176993280,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['Diaries & Daily Life', 'Food & Dining']",2,gr,"Τρώω δημητριακά με μέλι και πίνω εσπρέσσο λάτε για πρωινό, λες και λένε Λάμπη και μένω στη Κάτω Κηφισιά"
1435513229233598464,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Arts & Culture', 'Diaries & Daily Life']",2,gr,"""Είτε περπατάς είτε κάθεσαι,είτε στέκεσαι,είτε εργάζεσαι,είτε βρίσκεσαι στην Εκκλησία,άσε την προσευχή αυτή να γλιστρήσει από τα χείλη σου.""Κύριε Ιησού Χριστέ,ελέησον με"".Με την προσευχή αυτή στην καρδιά σου,θα βρεις εσωτερική ειρήνη&γαλήνη σώματος&ψυχής"" Άγιος Σεραφείμ του Σάρωφ"
1435573457924902912,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,['News & Social Concern'],1,gr,"Οι αποδοκιμασίες έξω από την μητρόπολη στον Μητσοτάκη και τον Μπακογιαννη ,η αρχή του τέλους τους ..."
1435573479173238784,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['Relationships'],1,gr,Η χημεία μεταξύ δύο ανθρώπων είναι κάτι που η λογική δεν εξηγεί ποτέ
1435573630440812544,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,"['Diaries & Daily Life', 'Film, TV & Video', 'Relationships', 'Music']",4,gr,"νιώθω το χάδι άλλα μάλλον γελιέμαι
θέλω να σε δω αλλά κρατιέμαι
τόσο μακριά για να έρθεις κοντά μου
νιώθω πως ακούω τη φωνή σου στα αυτιά μου

#sonkezsençalkapımı"
1435754805822164992,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"['Diaries & Daily Life', 'Relationships']",2,gr,Τις πληγές τις κλείνουμε μία μία.....
1435815192173162496,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"['Diaries & Daily Life', 'Family', 'News & Social Concern', 'Relationships']",4,gr,"Με τέτοιο καιρό κι η γυναίκα μου άναψε αιρ-κοντίσιον,λογικά θα νομίζει πως απ τις αυξήσεις της ΔΕΗ θα πάρουμε ποσοστό"
