text,coder,tweet,topics,Arts & Culture,Business & Entrepreneurs,Celebrity & Pop Culture,Diaries & Daily Life,Family,Fashion & Style,"Film, TV & Video",Fitness & Health,Food & Dining,Learning & Educational,News & Social Concern,Relationships,Science & Technology,Youth & Student Life,Music,Gaming,Sports,Travel & Adventure,Other Hobbies,id
"""Έγιναν και άλλα στο παιχνίδι, τα είδαν όλοι, αλλά αν τα πω θα τιμωρηθώ...Είναι ντροπή"".
Παπαπέτρου, ήσουν παίκτης του ΠΑΟ την 13/2, την πιο εμετική επίδειξης ισχύος του συστήματος, που κατέστρεψε το ελληνικό μπάσκετ. & πανηγύριζες!
Που θα μιλήσεις για ντροπή. 
#LARPAO #paobc",5d98fbee33f8930349e854c7,"""Έγιναν και άλλα στο παιχνίδι, τα είδαν όλοι, αλλά αν τα πω θα τιμωρηθώ...Είναι ντροπή"".
Παπαπέτρου, ήσουν παίκτης του ΠΑΟ την 13/2, την πιο εμετική επίδειξης ισχύος του συστήματος, που κατέστρεψε το ελληνικό μπάσκετ. & πανηγύριζες!
Που θα μιλήσεις για ντροπή. 
#LARPAO #paobc - Οδηγίες: https://docs.google.com/document/d/1IN2A1wU4p9RRa_UXM98w6-q3Pknwp-x91jt88EG7Aqw/edit?usp=sharing

 

[Field-1]",frozenset({'Αθλητισμός'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1533508524533133312
"""Έγιναν και άλλα στο παιχνίδι, τα είδαν όλοι, αλλά αν τα πω θα τιμωρηθώ...Είναι ντροπή"".
Παπαπέτρου, ήσουν παίκτης του ΠΑΟ την 13/2, την πιο εμετική επίδειξης ισχύος του συστήματος, που κατέστρεψε το ελληνικό μπάσκετ. & πανηγύριζες!
Που θα μιλήσεις για ντροπή. 
#LARPAO #paobc",5f10d1960878f0401ddc72ba,"""Έγιναν και άλλα στο παιχνίδι, τα είδαν όλοι, αλλά αν τα πω θα τιμωρηθώ...Είναι ντροπή"".
Παπαπέτρου, ήσουν παίκτης του ΠΑΟ την 13/2, την πιο εμετική επίδειξης ισχύος του συστήματος, που κατέστρεψε το ελληνικό μπάσκετ. & πανηγύριζες!
Που θα μιλήσεις για ντροπή. 
#LARPAO #paobc - Οδηγίες: https://docs.google.com/document/d/1IN2A1wU4p9RRa_UXM98w6-q3Pknwp-x91jt88EG7Aqw/edit?usp=sharing

 

[Field-1]",frozenset({'Αθλητισμός'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1533508524533133312
"""Έγιναν και άλλα στο παιχνίδι, τα είδαν όλοι, αλλά αν τα πω θα τιμωρηθώ...Είναι ντροπή"".
Παπαπέτρου, ήσουν παίκτης του ΠΑΟ την 13/2, την πιο εμετική επίδειξης ισχύος του συστήματος, που κατέστρεψε το ελληνικό μπάσκετ. & πανηγύριζες!
Που θα μιλήσεις για ντροπή. 
#LARPAO #paobc",5ae0b456dc323f0001635e0b,"""Έγιναν και άλλα στο παιχνίδι, τα είδαν όλοι, αλλά αν τα πω θα τιμωρηθώ...Είναι ντροπή"".
Παπαπέτρου, ήσουν παίκτης του ΠΑΟ την 13/2, την πιο εμετική επίδειξης ισχύος του συστήματος, που κατέστρεψε το ελληνικό μπάσκετ. & πανηγύριζες!
Που θα μιλήσεις για ντροπή. 
#LARPAO #paobc - Οδηγίες: https://docs.google.com/document/d/1IN2A1wU4p9RRa_UXM98w6-q3Pknwp-x91jt88EG7Aqw/edit?usp=sharing

 

[Field-1]","frozenset({'Ειδήσεις & Κοινωνία', 'Αθλητισμός'})",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1533508524533133312
"""Έγιναν και άλλα στο παιχνίδι, τα είδαν όλοι, αλλά αν τα πω θα τιμωρηθώ...Είναι ντροπή"".
Παπαπέτρου, ήσουν παίκτης του ΠΑΟ την 13/2, την πιο εμετική επίδειξης ισχύος του συστήματος, που κατέστρεψε το ελληνικό μπάσκετ. & πανηγύριζες!
Που θα μιλήσεις για ντροπή. 
#LARPAO #paobc",5be98f75047ec80001392817,"""Έγιναν και άλλα στο παιχνίδι, τα είδαν όλοι, αλλά αν τα πω θα τιμωρηθώ...Είναι ντροπή"".
Παπαπέτρου, ήσουν παίκτης του ΠΑΟ την 13/2, την πιο εμετική επίδειξης ισχύος του συστήματος, που κατέστρεψε το ελληνικό μπάσκετ. & πανηγύριζες!
Που θα μιλήσεις για ντροπή. 
#LARPAO #paobc - Οδηγίες: https://docs.google.com/document/d/1IN2A1wU4p9RRa_UXM98w6-q3Pknwp-x91jt88EG7Aqw/edit?usp=sharing

 

[Field-1]",frozenset({'Αθλητισμός'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1533508524533133312
"""Έγιναν και άλλα στο παιχνίδι, τα είδαν όλοι, αλλά αν τα πω θα τιμωρηθώ...Είναι ντροπή"".
Παπαπέτρου, ήσουν παίκτης του ΠΑΟ την 13/2, την πιο εμετική επίδειξης ισχύος του συστήματος, που κατέστρεψε το ελληνικό μπάσκετ. & πανηγύριζες!
Που θα μιλήσεις για ντροπή. 
#LARPAO #paobc",5dee9d7e95809453d6550cc6,"""Έγιναν και άλλα στο παιχνίδι, τα είδαν όλοι, αλλά αν τα πω θα τιμωρηθώ...Είναι ντροπή"".
Παπαπέτρου, ήσουν παίκτης του ΠΑΟ την 13/2, την πιο εμετική επίδειξης ισχύος του συστήματος, που κατέστρεψε το ελληνικό μπάσκετ. & πανηγύριζες!
Που θα μιλήσεις για ντροπή. 
#LARPAO #paobc - Οδηγίες: https://docs.google.com/document/d/1IN2A1wU4p9RRa_UXM98w6-q3Pknwp-x91jt88EG7Aqw/edit?usp=sharing

 

[Field-1]","frozenset({'Γυμναστική & Υεία', 'Διασημότητες & Ποπ κουλτούρα'})",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1533508524533133312
"""Έλα κυρ Στέφανε, χύμα τη μαρμελάδα και ξέχνα το ζαμπόν.
Ήρθε ο λογαριασμός της ΔΕΗ, ότι κάψαμε κάψαμε""",6113d948bcb1f232c85bdcf3,"""Έλα κυρ Στέφανε, χύμα τη μαρμελάδα και ξέχνα το ζαμπόν.
Ήρθε ο λογαριασμός της ΔΕΗ, ότι κάψαμε κάψαμε"" - Οδηγίες: https://docs.google.com/document/d/1IN2A1wU4p9RRa_UXM98w6-q3Pknwp-x91jt88EG7Aqw/edit?usp=sharing

 

[Field-1]",frozenset({'Ειδήσεις & Κοινωνία'}),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1515026949256720384
"""Έλα κυρ Στέφανε, χύμα τη μαρμελάδα και ξέχνα το ζαμπόν.
Ήρθε ο λογαριασμός της ΔΕΗ, ότι κάψαμε κάψαμε""",5e9e08653b081619a9b61f22,"""Έλα κυρ Στέφανε, χύμα τη μαρμελάδα και ξέχνα το ζαμπόν.
Ήρθε ο λογαριασμός της ΔΕΗ, ότι κάψαμε κάψαμε"" - Οδηγίες: https://docs.google.com/document/d/1IN2A1wU4p9RRa_UXM98w6-q3Pknwp-x91jt88EG7Aqw/edit?usp=sharing

 

[Field-1]",frozenset({'Ημερολόγια & Καθημερινή ζωή'}),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515026949256720384
"""Έλα κυρ Στέφανε, χύμα τη μαρμελάδα και ξέχνα το ζαμπόν.
Ήρθε ο λογαριασμός της ΔΕΗ, ότι κάψαμε κάψαμε""",64f45e20f24ecedbf1fa060a,"""Έλα κυρ Στέφανε, χύμα τη μαρμελάδα και ξέχνα το ζαμπόν.
Ήρθε ο λογαριασμός της ΔΕΗ, ότι κάψαμε κάψαμε"" - Οδηγίες: https://docs.google.com/document/d/1IN2A1wU4p9RRa_UXM98w6-q3Pknwp-x91jt88EG7Aqw/edit?usp=sharing

 

[Field-1]","frozenset({'Ημερολόγια & Καθημερινή ζωή', 'Ταινίες, τηλεόραση & βίντεο'})",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1515026949256720384
"""Έλα κυρ Στέφανε, χύμα τη μαρμελάδα και ξέχνα το ζαμπόν.
Ήρθε ο λογαριασμός της ΔΕΗ, ότι κάψαμε κάψαμε""",60ca1c436511b9fc8ab35615,"""Έλα κυρ Στέφανε, χύμα τη μαρμελάδα και ξέχνα το ζαμπόν.
Ήρθε ο λογαριασμός της ΔΕΗ, ότι κάψαμε κάψαμε"" - Οδηγίες: https://docs.google.com/document/d/1IN2A1wU4p9RRa_UXM98w6-q3Pknwp-x91jt88EG7Aqw/edit?usp=sharing

 

[Field-1]","frozenset({'Ημερολόγια & Καθημερινή ζωή', 'Ειδήσεις & Κοινωνία'})",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1515026949256720384
"""Έλα κυρ Στέφανε, χύμα τη μαρμελάδα και ξέχνα το ζαμπόν.
Ήρθε ο λογαριασμός της ΔΕΗ, ότι κάψαμε κάψαμε""",6150cc5a332d6c8fd03cc5a4,"""Έλα κυρ Στέφανε, χύμα τη μαρμελάδα και ξέχνα το ζαμπόν.
Ήρθε ο λογαριασμός της ΔΕΗ, ότι κάψαμε κάψαμε"" - Οδηγίες: https://docs.google.com/document/d/1IN2A1wU4p9RRa_UXM98w6-q3Pknwp-x91jt88EG7Aqw/edit?usp=sharing

 

[Field-1]","frozenset({'Φαγητό & Δείπνο', 'Ημερολόγια & Καθημερινή ζωή', 'Επιχειρήσεις & Επιχειρηματίες', 'Διασημότητες & Ποπ κουλτούρα'})",0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1515026949256720384
