id,Arts & Culture,Business & Entrepreneurs,Celebrity & Pop Culture,Diaries & Daily Life,Family,Fashion & Style,"Film, TV & Video",Fitness & Health,Food & Dining,Learning & Educational,News & Social Concern,Relationships,Science & Technology,Youth & Student Life,Music,Gaming,Sports,Travel & Adventure,Other Hobbies,topics,#topics,lang,text
1.432870821173678e+18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"['Celebrity & Pop Culture', 'Fashion & Style', 'Other Hobbies']",3,ja,今になって嶺亜さんカラーしたくなった嶺亜さんに会う予定ないけど
1.433308706133799e+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['Other Hobbies'],1,ja,TRRの髭切 膝丸 山姥切極 一期 和泉守譲渡にだすかなー。源氏は他と同数合わせてのみで。
1.4335502969998828e+18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Film, TV & Video']",1,ja,FBI 4-1とFBI:MW 3-1 でクロスオーバーかな
1.4336710933409628e+18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['Diaries & Daily Life', 'Fitness & Health']",2,ja,人間ドックおわたー。つかれたー。
1.433852286871097e+18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"['Relationships', 'Other Hobbies']",2,ja,"けんtaroは今のオレにとって特別。
特別な人ができた以上
超える人はいないので把握してください。"
1.4339428850622177e+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"['Sports', 'Other Hobbies']",2,ja,黒子、アイツは影が薄い。その薄さを利用して前衛でボレーを決めるんだ。よく青峰とダブルスを組んでいるよ。
1.4339579840071227e+18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Film, TV & Video']",1,ja,"ウルトラマントリガー、おもしろいなやっぱり
特にゼットの回は最高でした"
1.4340334823641866e+18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Business & Entrepreneurs', 'Diaries & Daily Life']",2,ja,"先月に入った給料がいつもより全然多くてこれは
夏のボーナス含めたものなのか、
オリパラ頑張ったからなのか、
振り込みの手違いなのか、、
いずれにせよ増えてたからこちらからは何も言わないでおこう、、←"
1.4342901717682954e+18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Diaries & Daily Life', 'Gaming']",2,ja,"なんか急に理由もなくモチベーション冷める経験ってあまりないんだけど急にタクトでその経験がきた🤔
楽しいし極度な不満ある訳じゃないんだけど何でだろう
ブリザード周回しながらゴールドも貯めようとしてたら、ふとなにやってるんだろうって
#ドラクエタクト"
1.4346827595035075e+18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Arts & Culture'],1,ja,刀ミュのファンサ受けてみたいから早く客降りができる世の中になってくれ〜〜〜〜
1.4350300486002524e+18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Business & Entrepreneurs'],1,ja,ユーロドルがじり上がりパターンになってきたようにみえます。念のため長期トレンドになると痛いのでいったん利確です。
1.4350451487825674e+18,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"['Diaries & Daily Life', 'News & Social Concern', 'Relationships', 'Gaming']",4,ja,"仕事半日だけやと気が楽やなぁ
昼から誰かゲームとかしてる人いるかしら"
1.4350602459197194e+18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['Diaries & Daily Life', 'Other Hobbies']",2,ja,継続来店の礼でもらうトリートメントの香りがさりげなく持続するタイプで頭うごかすといいにおいする
1.435150844484219e+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['Gaming'],1,ja,次環境のヴはよっぽどなパワーカード来ない限り完全に死にそうやから楽しみ
1.435437733929898e+18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"['Diaries & Daily Life', 'Youth & Student Life']",2,ja,うひゃ〜わんちゃん年内取れんかもしれんな〜後期授業なるべく空きコマ作ろ〜
1.4361021118051407e+18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['Diaries & Daily Life', 'Fitness & Health']",2,ja,あの後も多量の出血と戦いほぼ寝れず、、師長さんにお話しておやすみ頂いた😔今日はみんなのツイにぽちぽちいいね押したりする程度でゆっくり過ごそうと思います ( )
1.4362078095326287e+18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['Diaries & Daily Life', 'News & Social Concern']",2,ja,東京が時間効率良すぎて開店5分以内に退店繰り返してたからか目をつけられたんやな
1.4365097993073047e+18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['Diaries & Daily Life', 'Travel & Adventure']",2,ja,燃料次の水曜の休みまでは持ちそうだからそこでいいかと思ってたんだけど天気のほうが持ちそうにないので明日行ってくんべ
1.436841987466924e+18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['Diaries & Daily Life', 'Other Hobbies']",2,ja,"HB以上の鉛筆またはシャーペンって書いてあるのにしっかりHBでしかも0.3とかやる気あんのかって聞きたくなる
どうしよっかなぁ🙃"
1.4368570858624287e+18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['Diaries & Daily Life', 'Fitness & Health']",2,ja,"コロナワクチン2回目接種
30分経過。。異常なし
前回は、すでに息苦しさが出てたけど
今回はどーでるか。。😭
熱発しませんように🙏"
1.436872185952424e+18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"['Diaries & Daily Life', 'Fitness & Health', 'Other Hobbies']",3,ja,"なめてました
熱微熱だけどあっつい
だるい
あと寝れてないから眠い"
1.4370231822511923e+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['Other Hobbies'],1,ja,そーいやタンクカバーの話きいてたら吸気は特に手入れてないけど後軸46くらいはでてますってたな
1.4374157688958116e+18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Arts & Culture'],1,ja,レッドフードのアクション、なにやってるのかわからないので雰囲気で読んでいる派です
1.437612062453031e+18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Diaries & Daily Life', 'Fashion & Style']",2,ja,美容院に行く気力が湧かず、でも土曜日おでかけだったので金曜に自分で髪染めたんだけど、気に入ってないので変えたい
1.4378083563206943e+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['Gaming'],1,ja,"エルシャダイどう遊ぼうかなあ。プレイの記録を付ける意味でYoutube配信しながらでも楽しそうだし、
既プレイヤーの友人と駄弁りながら見てもらうのもいいし、
単純に一人であちこちぶつかりながらゆっくりゆっくり美術を楽しむのも気持ちよさそう"
1.4379291495831347e+18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['Diaries & Daily Life', 'Fitness & Health']",2,ja,"ワクチン前に買い物行っとこ。。
ポカリ買っとけばいいの?(?)
あとはカット野菜買っとこ"
1.437974448376668e+18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Diaries & Daily Life', 'Gaming']",2,ja,最近オダチェンがめんどくさくて使わない編成にしようとすると、どうしてもWスカポンタンになる感じ・・・
1.4380499472243955e+18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Diaries & Daily Life'],1,ja,乗り換えの時間が3分しかないから、階段ピッタリのところ、4両目一番前か3両目一番後ろに乗るはずが、発車ギリギリに8両目に乗り、車内を歩いて移動してたら今自分が何両目かわからなくなった帰路。全力で車内キョロキョロしてるけどどこにも書いてない😭
1.4380801469808312e+18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Celebrity & Pop Culture'],1,ja,"坂川陽香ちゃんが本店のセンターになる日が来ると良いなぁ。2,3年後くらいに。"
1.4383217387234345e+18,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"['Fitness & Health', 'News & Social Concern']",2,ja,自分の心身の健康を保つことが人生の目的ではないという人もいるわけで
1.4385029329246659e+18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['Diaries & Daily Life', 'Other Hobbies']",2,ja,聞けない時結構落ち込んでるけどそういうならそう思うことにする笑
1.4386690245487e+18,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"['Celebrity & Pop Culture', 'Diaries & Daily Life', 'Film, TV & Video', 'Other Hobbies']",4,ja,井上麻里奈さんの羽川翼がかわいすぎる
1.4393636007248568e+18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Diaries & Daily Life'],1,ja,昼夜逆転のワイ、まだ寝てないし眠くもない🎶そんで今日はバイト🎶
1.4400883775339438e+18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['Film, TV & Video']",1,ja,しまった!きららの視聴チケット購入昨日までだった。もう一度観たかったよう。円盤化するかなあ。再演でも良い。
1.440088378238636e+18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Diaries & Daily Life'],1,ja,おはよ*⸜(* ॑꒳ ॑*  )⸝*
1.4401034793268224e+18,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Celebrity & Pop Culture', 'Diaries & Daily Life']",2,ja,"秋葉原は帰りの経路から外れてるからなぁ。
池袋なら行かれるけど。
池袋寄りたいなぁ。"
1.4407678554195395e+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,['Sports'],1,ja,スアレスもサイスニードも4-5回しか投げれないなら、週に1回その2人の継投で1試合投げ切る日を作ってもいいのかもね。敗戦処理以外のリリーフはお休みということで。
1.441160443280515e+18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Diaries & Daily Life'],1,ja,仕事の夢を見た時、1日余計に働いた感じがしてとても憂鬱である。
1.4412057411514163e+18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Business & Entrepreneurs', 'Diaries & Daily Life']",2,ja,仕事で完徹してからの資料修正。あかん眠たい
1.441341637607653e+18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['Celebrity & Pop Culture', 'Sports']",2,ja,このまま負けてたら20時でスパッとMステに変えよう乃木坂ちゃん達出るし😕😕
1.4415228319262515e+18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Diaries & Daily Life'],1,ja,"寝落ちからの目覚め🙋
んー、、さすがに早いし準備だけしてゆっくりするかw"
1.4422627065940746e+18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Diaries & Daily Life'],1,ja,"周りのヲタク双眼鏡のタイミング一緒すぎて笑ってもうた
あとみんなお腹空いてたね^^"
1.4422778048343163e+18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"['Diaries & Daily Life', 'Music']",2,ja,"evolutionって出社前とかに聴くとやる気出そうだよね
evolution出社したいな"
