text,coder,tweet,topics,Arts & Culture,Business & Entrepreneurs,Celebrity & Pop Culture,Diaries & Daily Life,Family,Fashion & Style,"Film, TV & Video",Fitness & Health,Food & Dining,Learning & Educational,News & Social Concern,Relationships,Science & Technology,Youth & Student Life,Music,Gaming,Sports,Travel & Adventure,Other Hobbies,id
"#Liella_東京追加_Day2
どれだけ俺らを喜ばせれば気が済むんだ",5c5aaf83a7ca950001f5a4c0,"#Liella_東京追加_Day2
どれだけ俺らを喜ばせれば気が済むんだ - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'芸能'}),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482653853833396224
"#Liella_東京追加_Day2
どれだけ俺らを喜ばせれば気が済むんだ",64fc9dfe75e6c4bb034e5bc9,"#Liella_東京追加_Day2
どれだけ俺らを喜ばせれば気が済むんだ - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'映画&ラジオ'}),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1482653853833396224
"#Liella_東京追加_Day2
どれだけ俺らを喜ばせれば気が済むんだ",60f01d9692d019017760b69a,"#Liella_東京追加_Day2
どれだけ俺らを喜ばせれば気が済むんだ - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'家族'}),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482653853833396224
"#Liella_東京追加_Day2
どれだけ俺らを喜ばせれば気が済むんだ",5f57620f2095071eaf7a8224,"#Liella_東京追加_Day2
どれだけ俺らを喜ばせれば気が済むんだ - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'音楽'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1482653853833396224
"#Liella_東京追加_Day2
どれだけ俺らを喜ばせれば気が済むんだ",62fd1304230026aaa1e5c5b1,"#Liella_東京追加_Day2
どれだけ俺らを喜ばせれば気が済むんだ - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'芸能'}),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482653853833396224
#midjourney でイマジナリー・ドーターを描かせたら怖くなって閉じちゃった。おやすみ。,6097e36e99d6c893daf55676,"#midjourney でイマジナリー・ドーターを描かせたら怖くなって閉じちゃった。おやすみ。 - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]","frozenset({'サイエンス', '家族'})",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1555191824901636096
#midjourney でイマジナリー・ドーターを描かせたら怖くなって閉じちゃった。おやすみ。,60f01d9692d019017760b69a,"#midjourney でイマジナリー・ドーターを描かせたら怖くなって閉じちゃった。おやすみ。 - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]","frozenset({'ゲーム', '映画&ラジオ', '芸能'})",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1555191824901636096
#midjourney でイマジナリー・ドーターを描かせたら怖くなって閉じちゃった。おやすみ。,56ddac2e6893b5000de993bf,"#midjourney でイマジナリー・ドーターを描かせたら怖くなって閉じちゃった。おやすみ。 - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'アート&カルチャー'}),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555191824901636096
#midjourney でイマジナリー・ドーターを描かせたら怖くなって閉じちゃった。おやすみ。,601bdf107baab35ea427ec7e,"#midjourney でイマジナリー・ドーターを描かせたら怖くなって閉じちゃった。おやすみ。 - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'日常'}),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555191824901636096
#midjourney でイマジナリー・ドーターを描かせたら怖くなって閉じちゃった。おやすみ。,5fe508e86079e12a8a3b2427,"#midjourney でイマジナリー・ドーターを描かせたら怖くなって閉じちゃった。おやすみ。 - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'アート&カルチャー'}),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555191824901636096
"#nowplaying I don't know by THE YELLOW MONKEY - 9999
最近イントロもロビンの歌も最高すぎてリピしてる",62851102d56842a48361f9d4,"#nowplaying I don't know by THE YELLOW MONKEY - 9999
最近イントロもロビンの歌も最高すぎてリピしてる - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'音楽'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1472008710495272960
"#nowplaying I don't know by THE YELLOW MONKEY - 9999
最近イントロもロビンの歌も最高すぎてリピしてる",64fc9dfe75e6c4bb034e5bc9,"#nowplaying I don't know by THE YELLOW MONKEY - 9999
最近イントロもロビンの歌も最高すぎてリピしてる - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'音楽'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1472008710495272960
"#nowplaying I don't know by THE YELLOW MONKEY - 9999
最近イントロもロビンの歌も最高すぎてリピしてる",64622d2c6d50562c9b68e0c1,"#nowplaying I don't know by THE YELLOW MONKEY - 9999
最近イントロもロビンの歌も最高すぎてリピしてる - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'音楽'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1472008710495272960
"#nowplaying I don't know by THE YELLOW MONKEY - 9999
最近イントロもロビンの歌も最高すぎてリピしてる",58d9a79c33fef3000118abdf,"#nowplaying I don't know by THE YELLOW MONKEY - 9999
最近イントロもロビンの歌も最高すぎてリピしてる - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'音楽'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1472008710495272960
"#nowplaying I don't know by THE YELLOW MONKEY - 9999
最近イントロもロビンの歌も最高すぎてリピしてる",5ec403bb09d0e02a060bd5e6,"#nowplaying I don't know by THE YELLOW MONKEY - 9999
最近イントロもロビンの歌も最高すぎてリピしてる - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'音楽'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1472008710495272960
"#あんなるーむ
配信ありがとう
広島のミジンコでしっくりきたみたいだけどもうちょっとカワイイのがいいなー
📸使わない人はいいもの買っても使わないのよ(本人談)
買ったらたくさん自慢してね",5c7dd8e0665aaa001230a6c7,"#あんなるーむ
配信ありがとう
広島のミジンコでしっくりきたみたいだけどもうちょっとカワイイのがいいなー
📸使わない人はいいもの買っても使わないのよ(本人談)
買ったらたくさん自慢してね - インストラクション : https://docs.google.com/document/d/1A0jP35VLeYxYvotdIczDYIB0hOxOnS1ncylk6fVWyZQ/edit?usp=sharing

 

[Field-1]",frozenset({'その他'}),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1495035438582894592
